,type,country,activity,species,month,fatal,gender,year,age
42,Unprovoked,usa,Surfing,Tiger,Apr,N,M,2017.0,28.0
43,Unprovoked,usa,Swimming,Bull,Apr,N,F,2017.0,17.0
44,Unprovoked,australia,Scuba Diving,Bull,Jan,N,M,2017.0,55.0
45,Unprovoked,indonesia,Surfing,Bull,Jan,N,M,2017.0,48.0
46,Invalid,australia,Wading,Unspecified,Jan,,M,2017.0,20.0
47,Unprovoked,south africa,Surf skiing ,White,Dec,N,M,2016.0,55.0
48,Invalid,usa,Surfing,Unspecified,Dec,,M,2016.0,19.0
49,Provoked,australia,Surf fishing,Unspecified,Dec,N,M,2016.0,20.0
50,Unprovoked,australia,Surfing,White,Dec,N,M,2016.0,65.0
51,Provoked,australia,Fishing,Unspecified,Nov,N,M,2016.0,25.0
52,Unprovoked,usa,Floating,Tiger,Nov,N,F,2016.0,58.0
53,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2016.0,36.0
54,Unprovoked,australia,Surfing,White,Sep,N,M,2016.0,17.0
55,Unprovoked,usa,Wading,Unspecified,Sep,N,M,2016.0,60.0
56,Unprovoked,usa,Swimming,Tiger,Sep,N,F,2016.0,51.0
57,Unprovoked,usa,Surfing,Bull,Aug,N,M,2016.0,25.0
58,Unprovoked,usa,SUP Foil boarding,Tiger,Aug,N,M,2016.0,21.0
59,Unprovoked,spain,Swimming,Unspecified,Jul,N,M,2016.0,40.0
60,Provoked,australia,Fishing,Unspecified,Jul,N,M,2016.0,31.0
61,Unprovoked,usa,Kite surfing,White,Jul,N,M,2016.0,61.0
62,Provoked,usa,Fishing,Unspecified,Jul,N,M,2016.0,59.0
63,Provoked,australia,Fishing,Unspecified,Jul,N,M,2016.0,34.0
64,Unprovoked,usa,Floating,Unspecified,Jun,N,M,2016.0,42.0
65,Unprovoked,usa,Floating in tube,Unspecified,Jun,N,F,2016.0,6.0
66,Unprovoked,usa,Standing,Unspecified,Jun,N,M,2016.0,19.0
67,Invalid,usa,Surfing,Unspecified,Jun,,M,2016.0,27.0
68,Unprovoked,australia,Diving,Unspecified,Jun,Y,F,2016.0,60.0
69,Unprovoked,egypt,Swimming,Unspecified,Jun,N,M,2016.0,23.0
70,Unprovoked,australia,Surfing,White,May,Y,M,2016.0,29.0
71,Unprovoked,usa,Swimming,Unspecified,May,N,M,2016.0,13.0
72,Unprovoked,usa,Swimming,Bull,May,N,F,2016.0,22.0
73,Unprovoked,usa,Swimming,Unspecified,May,N,M,2016.0,48.0
74,Provoked,usa,Teasing a shark,Unspecified,May,N,F,2016.0,23.0
75,Provoked,new zealand,Fishing,Unspecified,May,N,M,2016.0,39.0
76,Unprovoked,indonesia,Surfing,Bull,Apr,N,M,2016.0,24.0
77,Unprovoked,australia,Swimming,Unspecified,Apr,N,M,2016.0,12.0
78,Provoked,french polynesia,Spearfishing,Grey,Apr,,M,2016.0,22.0
79,Provoked,french polynesia,Spearfishing,Grey,Apr,N,M,2016.0,26.0
80,Unprovoked,new caledonia,Walking,Tiger,Apr,Y,F,2016.0,25.0
81,Unprovoked,usa,Paddle boarding,Tiger,Jan,N,M,2016.0,48.0
82,Unprovoked,australia,Wading,Unspecified,Jan,N,M,2016.0,11.0
83,Unprovoked,australia,Spearfishing,Unspecified,Jan,N,M,2016.0,31.0
84,Unprovoked,usa,Paddle boarding,Unspecified,Dec,N,M,2015.0,25.0
85,Unprovoked,australia,Surfing,Unspecified,Dec,N,M,2015.0,43.0
86,Unprovoked,ecuador,Snorkeling,Unspecified,Nov,N,M,2015.0,55.0
87,Unprovoked,australia,Surfing,Bull,Nov,N,M,2015.0,20.0
88,Invalid,usa,Surfing,Unspecified,Nov,,F,2015.0,9.0
89,Unprovoked,usa,Wading,Unspecified,Nov,N,F,2015.0,28.0
90,Unprovoked,south africa,Surfing,White,Oct,N,M,2015.0,42.0
91,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2015.0,21.0
92,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2015.0,21.0
93,Invalid,usa,Surfing,Unspecified,Oct,,M,2015.0,32.0
94,Unprovoked,usa,Swimming,Tiger,Oct,N,M,2015.0,44.0
95,Unprovoked,usa,Surfing,Tiger,Oct,N,M,2015.0,25.0
96,Unprovoked,usa,Wading,Unspecified,Oct,N,M,2015.0,13.0
97,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2015.0,14.0
98,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2015.0,22.0
99,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2015.0,14.0
100,Unprovoked,usa,Spearfishing,Tiger,Sep,N,M,2015.0,27.0
101,Unprovoked,usa,Wading,Unspecified,Sep,N,M,2015.0,12.0
102,Unprovoked,australia,Surfing,Unspecified,Sep,N,M,2015.0,42.0
103,Unprovoked,usa,Stand-Up Paddleboarding,White,Sep,N,F,2015.0,50.0
104,Provoked,usa,Kayak Fishing,Unspecified,Sep,N,M,2015.0,29.0
105,Unprovoked,australia,Surf-skiing,White,Sep,N,M,2015.0,62.0
106,Unprovoked,thailand,Wading,Unspecified,Sep,N,F,2015.0,37.0
107,Unprovoked,usa,Surfing,White,Aug,N,F,2015.0,54.0
108,Unprovoked,usa,Surfing,White,Aug,N,M,2015.0,21.0
109,Unprovoked,usa,Surfing,Unspecified,Aug,N,M,2015.0,15.0
110,Unprovoked,usa,Walking,Unspecified,Aug,N,F,2015.0,10.0
111,Boating,usa,Kayak Fishing,White,Aug,N,M,2015.0,22.0
112,Invalid,spain,Swimming,Unspecified,Aug,,M,2015.0,10.0
113,Provoked,usa,Spearfishing,Unspecified,Aug,N,M,2015.0,57.0
114,Unprovoked,australia,Surfing,White,Jul,N,M,2015.0,52.0
115,Unprovoked,usa,Surfing,Unspecified,Jul,N,M,2015.0,25.0
116,Invalid,usa,Floating,Unspecified,Jul,,F,2015.0,35.0
117,Unprovoked,australia,Scallop diving on hookah,White,Jul,Y,M,2015.0,46.0
118,Unprovoked,usa,Surfing,White,Jul,N,M,2015.0,38.0
119,Unprovoked,australia,Body boarding ,White,Jul,N,M,2015.0,32.0
120,Unprovoked,usa,Swimming,Unspecified,Jul,N,M,2015.0,25.0
121,Unprovoked,usa,Playing in the water,Unspecified,Jun,N,M,2015.0,12.0
122,Unprovoked,usa,Swimming,Bull,Jun,N,M,2015.0,18.0
123,Unprovoked,south africa,Body Boarding,White,Jun,N,M,2015.0,19.0
124,Unprovoked,south africa,Surfing,White,Jun,N,M,2015.0,23.0
125,Unprovoked,usa,Standing,Unspecified,Jun,N,M,2015.0,43.0
126,Unprovoked,usa,Swimming,Tiger,Jun,N,M,2015.0,6.0
127,Invalid,australia,Surfing,White,Jun,N,F,2015.0,37.0
128,Unprovoked,usa,Wading,Bull,Jun,N,M,2015.0,16.0
129,Unprovoked,usa,Wading,Bull,Jun,N,F,2015.0,12.0
130,Unprovoked,usa,Boogie boarding,Unspecified,Jun,N,F,2015.0,13.0
131,Unprovoked,usa,Playing,Bull,Jun,N,M,2015.0,11.0
132,Unprovoked,reunion,Surfing,Bull,Jun,N,M,2015.0,47.0
133,Unprovoked,french polynesia,Spearfishing,Unspecified,May,N,M,2015.0,19.0
134,Unprovoked,usa,Surfing,Unspecified,,N,M,2015.0,18.0
135,Unprovoked,south africa,Diving,White,May,N,M,2015.0,29.0
136,Unprovoked,usa,Wading,Unspecified,Apr,N,M,2015.0,63.0
137,Unprovoked,australia,Surfing,White,Apr,N,M,2015.0,26.0
138,Unprovoked,australia,Surf skiing ,White,Jun,N,M,2015.0,25.0
139,Unprovoked,reunion,Surfing,Bull,Apr,Y,M,2015.0,13.0
140,Unprovoked,usa,Spearfishing,Bull,Apr,N,M,2015.0,25.0
141,Invalid,brazil,Surfing,Unspecified,Mar,,M,2015.0,23.0
142,Unprovoked,usa,Standing / Snorkeling,Tiger,Mar,N,M,2015.0,58.0
143,Unprovoked,french polynesia,Hand feeding sharks,Unspecified,Mar,N,M,2015.0,9.0
144,Unprovoked,reunion,Swimming,Tiger,Feb,Y,F,2015.0,22.0
145,Unprovoked,australia,Surfing,Unspecified,Feb,Y,M,2015.0,41.0
146,Unprovoked,australia,Surfing,Unspecified,Feb,N,M,2015.0,35.0
147,Boating,australia,Rowing,Bull,Jan,N,M,2015.0,57.0
148,Provoked,usa,Shark fishing,Unspecified,Jan,N,M,2015.0,20.0
149,Unprovoked,bahamas,Snorkeling,White,Jan,N,F,2015.0,34.0
150,Unprovoked,south africa,Surfing,Unspecified,Jan,N,M,2015.0,15.0
151,Unprovoked,australia,Spearfishing,White,Dec,Y,M,2014.0,17.0
152,Unprovoked,usa,Surfing,White,Dec,N,M,2014.0,50.0
153,Provoked,australia,Fishing,Unspecified,Dec,N,M,2014.0,40.0
154,Unprovoked,australia,Spearfishing,Tiger,Dec,Y,M,2014.0,17.0
155,Unprovoked,usa,Surfing,Unspecified,Nov,N,M,2014.0,44.0
156,Unprovoked,usa,Snorkeling,Unspecified,Nov,N,M,2014.0,53.0
157,Unprovoked,usa,Surfing,Tiger,Oct,N,F,2014.0,34.0
158,Unprovoked,australia,Surfing,Unspecified,Oct,N,F,2014.0,13.0
159,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2014.0,29.0
160,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2014.0,15.0
161,Unprovoked,usa,Surfing,Unspecified,Oct,N,M,2014.0,28.0
162,Unprovoked,australia,Surfing,White,Oct,N,M,2014.0,23.0
163,Unprovoked,australia,Swimming,Unspecified,Sep,Y,M,2014.0,50.0
164,Unprovoked,usa,Fishing ,Bull,Sep,N,M,2014.0,43.0
165,Boating,usa,Kayaking ,White,Sep,N,F,2014.0,20.0
166,Provoked,usa,Fishing,Unspecified,Sep,N,M,2014.0,52.0
167,Unprovoked,usa,Body surfing,Unspecified,Aug,N,F,2014.0,13.0
168,Unprovoked,usa,Swimming,Bull,Aug,N,M,2014.0,7.0
169,Unprovoked,usa,Boogie boarding,Unspecified,Aug,N,M,2014.0,10.0
170,Unprovoked,south africa,Surfing,White,Aug,N,M,2014.0,20.0
171,Unprovoked,usa,Swimming,Unspecified,Jul,N,M,2014.0,61.0
172,Unprovoked,usa,Swimming,Unspecified,Jul,N,M,2014.0,39.0
173,Invalid,bahamas,Shark diving,Unspecified,Jul,,M,2014.0,63.0
174,Unprovoked,usa,Body surfing,Unspecified,Jul,N,M,2014.0,19.0
175,Unprovoked,usa,Standing,Unspecified,Jun,N,M,2014.0,16.0
176,Unprovoked,australia,Body boarding,Unspecified,Jun,N,M,2014.0,39.0
177,Unprovoked,usa,Swimming,Bull,Jun,N,F,2014.0,22.0
178,Unprovoked,australia,Surfing,White,May,N,M,2014.0,35.0
179,Unprovoked,usa,Swimming,Unspecified,May,N,F,2014.0,40.0
180,Unprovoked,usa,Surfing,Unspecified,May,N,M,2014.0,23.0
181,Unprovoked,australia,Swimming,White,Apr,Y,F,2014.0,63.0
182,Invalid,australia,Diving for lobsters,Unspecified,Mar,,M,2014.0,38.0
183,Unprovoked,south africa,Swimming,Unspecified,Mar,Y,M,2014.0,25.0
184,Unprovoked,french polynesia,Kitesurfing,Unspecified,Feb,N,M,2014.0,21.0
185,Unprovoked,new zealand,Surfing,Unspecified,Feb,N,M,2014.0,28.0
186,Unprovoked,new caledonia,Snorkeling,Bull,Dec,N,M,2013.0,37.0
187,Unprovoked,south africa,Surfing,White,Dec,N,M,2013.0,19.0
188,Unprovoked,usa,Boogie boarding,Tiger,Dec,N,M,2013.0,29.0
189,Unprovoked,usa,Surfing,Unspecified,Dec,N,M,2013.0,30.0
190,Unprovoked,australia,Surfing,Unspecified,Dec,N,M,2013.0,26.0
191,Unprovoked,australia,Body boarding,Tiger,Nov,Y,M,2013.0,19.0
192,Unprovoked,australia,Surfing,White,Nov,Y,M,2013.0,35.0
193,Unprovoked,usa,Surfing,White,Nov,N,M,2013.0,25.0
194,Unprovoked,usa,Kiteboarding,Tiger,Oct,N,M,2013.0,46.0
195,Unprovoked,australia,Snorkeling,Unspecified,Oct,N,F,2013.0,60.0
196,Unprovoked,reunion,Body boarding,Bull,Oct,N,M,2013.0,24.0
197,Unprovoked,australia,Surfing,Unspecified,Oct,N,M,2013.0,41.0
198,Unprovoked,usa,Diving ,White,Oct,N,M,2013.0,45.0
199,Unprovoked,usa,Surfing,Tiger,Oct,N,M,2013.0,25.0
200,Unprovoked,usa,Wading,Unspecified,Oct,N,M,2013.0,6.0
201,Unprovoked,south africa,Swimming / snorkeling,White,Oct,Y,M,2013.0,25.0
202,Unprovoked,australia,Diving for Abalone,White,Oct,N,M,2013.0,55.0
203,Unprovoked,usa,Surfing,White,Oct,N,M,2013.0,45.0
204,Unprovoked,usa,Swimming,Bull,Sep,N,M,2013.0,21.0
205,Unprovoked,usa,Surfing,Unspecified,Sep,N,F,2013.0,13.0
206,Provoked,usa,Surfing,Unspecified,Sep,N,M,2013.0,43.0
207,Unprovoked,usa,Standing,Unspecified,Sep,N,M,2013.0,25.0
208,Unprovoked,usa,Casting a net,Unspecified,Sep,N,M,2013.0,9.0
209,Unprovoked,usa,Snorkeling,Tiger,Aug,Y,F,2013.0,20.0
210,Unprovoked,usa,Surfing,Bull,Aug,N,M,2013.0,10.0
211,Unprovoked,usa,Fishing,Bull,Aug,N,M,2013.0,17.0
212,Unprovoked,bahamas,Spearfishing,Unspecified,Jul,N,M,2013.0,40.0
213,Unprovoked,usa,Surfing,Tiger,Jul,N,M,2013.0,18.0
214,Unprovoked,bahamas,Cleaning fish,Unspecified,Jul,N,M,2013.0,64.0
215,Unprovoked,usa,Swimming,Unspecified,Jun,N,M,2013.0,14.0
216,Unprovoked,usa,Swimming,Tiger,Jun,N,M,2013.0,28.0
217,Unprovoked,usa,Boogie Boarding,Unspecified,Jun,N,F,2013.0,10.0
218,Unprovoked,ecuador,Surfing,Unspecified,May,N,M,2013.0,29.0
219,Unprovoked,reunion,Body boarding,Bull,May,Y,M,2013.0,36.0
220,Unprovoked,usa,Surfing,Unspecified,May,N,M,2013.0,16.0
221,Unprovoked,mexico,Swimming,Tiger,Apr,N,F,2013.0,34.0
222,Unprovoked,australia,Fishing,Grey,Apr,N,M,2013.0,51.0
223,Unprovoked,usa,Playing in the surf,Unspecified,Apr,N,M,2013.0,9.0
224,Unprovoked,usa,Surfing,Bull,Apr,N,M,2013.0,21.0
225,Unprovoked,french polynesia,Kite boarding,Unspecified,Apr,N,M,2013.0,53.0
226,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2013.0,58.0
227,Provoked,south africa,Fishing - 'tag & release',Unspecified,Mar,N,M,2013.0,30.0
228,Unprovoked,jamaica,Spearfishing,Tiger,Mar,Y,M,2013.0,25.0
229,Unprovoked,australia,Spearfishing,Unspecified,Mar,N,M,2013.0,28.0
230,Unprovoked,new zealand,Swimming,White,Feb,Y,M,2013.0,46.0
231,Unprovoked,usa,Surfing,Unspecified,Feb,N,M,2013.0,16.0
232,Unprovoked,french polynesia,Scuba diving,Lemon,Feb,N,M,2013.0,48.0
233,Unprovoked,usa,Surfing,Tiger,Jan,N,M,2013.0,43.0
234,Unprovoked,australia,Surfing,Unspecified,Dec,N,M,2012.0,23.0
235,Unprovoked,australia,Paddle boarding,Bull,Dec,N,M,2012.0,29.0
236,Unprovoked,australia,Surfing,Tiger,Dec,N,M,2012.0,32.0
237,Unprovoked,usa,Surfing,Unspecified,Dec,N,M,2012.0,60.0
238,Unprovoked,australia,Spearfishing,Tiger,Dec,N,M,2012.0,31.0
239,Unprovoked,usa,Snorkeling,Tiger,Nov,N,M,2012.0,61.0
240,Unprovoked,mexico,Swimming,Unspecified,Nov,Y,M,2012.0,32.0
241,Unprovoked,usa,Surfing,Unspecified,Nov,N,M,2012.0,14.0
242,Unprovoked,usa,Diving,Tiger,Nov,N,M,2012.0,30.0
243,Unprovoked,usa,Surfing,Tiger,Nov,N,M,2012.0,43.0
244,Unprovoked,usa,Surfing,White,Oct,N,M,2012.0,25.0
245,Unprovoked,usa,Swimming,Tiger,Oct,N,F,2012.0,51.0
246,Unprovoked,usa,Surfing,White,Oct,Y,M,2012.0,39.0
247,Unprovoked,usa,Paddle boarding,Unspecified,Oct,N,M,2012.0,55.0
248,Unprovoked,australia,Bodyboarding,Unspecified,Oct,N,M,2012.0,11.0
249,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2012.0,21.0
250,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2012.0,22.0
251,Unprovoked,usa,Boogie boarding,Unspecified,Sep,N,F,2012.0,8.0
252,Unprovoked,usa,Swimming or boogie boarding,Unspecified,Sep,N,F,2012.0,56.0
253,Unprovoked,usa,Free diving ,Lemon,Aug,N,M,2012.0,56.0
254,Unprovoked,australia,Surfing,White,Jul,N,M,2012.0,48.0
255,Unprovoked,usa,Body surfing,White,Jul,N,M,2012.0,50.0
256,Unprovoked,australia,Surfing,White,Jul,Y,M,2012.0,24.0
257,Boating,usa,Kayaking,Unspecified,Jul,N,M,2012.0,52.0
258,Unprovoked,south africa,Surfing,Unspecified,Jul,N,M,2012.0,29.0
259,Unprovoked,usa,Swimming,Bull,Jun,N,M,2012.0,6.0
260,Unprovoked,usa,Sitting in the water,Unspecified,Jun,N,F,2012.0,16.0
261,Unprovoked,australia,Surf skiing ,Unspecified,Jun,N,M,2012.0,62.0
262,Provoked,usa,Fishing,Unspecified,Jun,N,M,2012.0,23.0
263,Unprovoked,usa,Swimming,Unspecified,Jun,N,F,2012.0,18.0
264,Unprovoked,usa,Swimming,Unspecified,Jun,N,M,2012.0,16.0
265,Unprovoked,australia,Surfing,Unspecified,Jun,N,M,2012.0,42.0
266,Provoked,italy,Attempting to rescue an injured & beached shark,Unspecified,Jun,,M,2012.0,57.0
267,Unprovoked,australia,Surf skiing ,White,Jun,N,M,2012.0,30.0
268,Unprovoked,usa,Wading,Unspecified,May,N,F,2012.0,33.0
269,Unprovoked,mexico,Free diving / spearfishing,Bull,May,N,M,2012.0,46.0
270,Unprovoked,usa,Surfing,Unspecified,May,N,M,2012.0,22.0
271,Boating,usa,Kayaking / Fishing,White,May,N,M,2012.0,30.0
272,Unprovoked,usa,Paddle boarding,White,May,N,F,2012.0,15.0
273,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2012.0,28.0
274,Unprovoked,south africa,Body boarding,White,Apr,Y,M,2012.0,20.0
275,Unprovoked,usa,Surfing,Tiger,Apr,N,M,2012.0,28.0
276,Unprovoked,australia,Scuba diving,White,Mar,Y,M,2012.0,33.0
277,Unprovoked,australia,Surfing,Bull,Mar,N,M,2012.0,20.0
278,Unprovoked,usa,Surfing,Bull,Mar,N,M,2012.0,61.0
279,Unprovoked,usa,Surfing,Unspecified,Mar,N,F,2012.0,15.0
280,Unprovoked,usa,Surfing,Unspecified,Mar,N,M,2012.0,17.0
281,Provoked,australia,"Diving, feeding sharks",Unspecified,Mar,N,F,2012.0,34.0
282,Unprovoked,usa,Kite Surfing,Unspecified,Mar,N,M,2012.0,19.0
283,Unprovoked,australia,Snorkeling,Tiger,Jan,N,M,2012.0,26.0
284,Unprovoked,australia,Surfing,White,Jan,N,M,2012.0,44.0
285,Unprovoked,south africa,Swimming,Bull,Jan,Y,M,2012.0,25.0
286,Unprovoked,australia,Surfing,Unspecified,Jan,N,M,2012.0,28.0
287,Unprovoked,australia,Spearfishing,Tiger,Jan,N,M,2012.0,34.0
288,Unprovoked,australia,Surfing,White,Dec,N,M,2011.0,51.0
289,Unprovoked,australia,Swimming,Unspecified,Nov,N,M,2011.0,10.0
290,Unprovoked,australia,Diving,White,Oct,Y,M,2011.0,32.0
291,Unprovoked,australia,Diving,Unspecified,Oct,N,M,2011.0,50.0
292,Invalid,usa,Surfing,Unspecified,Sep,,M,2011.0,27.0
293,Unprovoked,south africa,Swimming,White,Sep,N,M,2011.0,43.0
294,Unprovoked,usa,Spearfishing,Bull,Sep,N,M,2011.0,21.0
295,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2011.0,25.0
296,Unprovoked,papua new guinea,Kite Surfing,Tiger,Sep,N,M,2011.0,30.0
297,Unprovoked,australia,Body boarding,White,Sep,Y,M,2011.0,21.0
298,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2011.0,19.0
299,Unprovoked,usa,Surfing,Unspecified,Aug,N,M,2011.0,19.0
300,Invalid,australia,Swimming,Unspecified,Aug,,M,2011.0,48.0
301,Unprovoked,south africa,Surfing,White,Aug,Y,M,2011.0,49.0
302,Unprovoked,usa,Wading,Tiger,Aug,N,F,2011.0,20.0
303,Unprovoked,russia,Swimming,Unspecified,Aug,N,M,2011.0,25.0
304,Unprovoked,french polynesia,Surfing,Grey,Aug,N,M,2011.0,32.0
305,Unprovoked,seychelles,Swimming or Snorkeling,Bull,Aug,Y,M,2011.0,30.0
306,Unprovoked,south africa,Surfing,White,Jul,N,M,2011.0,29.0
307,Unprovoked,south africa,Scuba diving,Bull,Jun,N,M,2011.0,22.0
308,Unprovoked,usa,Playing in the surf,Bull,Jun,N,F,2011.0,10.0
309,Unprovoked,usa,Scuba diving,Unspecified,Jun,N,M,2011.0,28.0
310,Unprovoked,usa,Wading,Unspecified,Jun,N,M,2011.0,19.0
311,Unprovoked,south africa,Spearfishing,Unspecified,May,Y,M,2011.0,28.0
312,Unprovoked,new caledonia,Kite Boarding,Tiger,May,Y,M,2011.0,15.0
313,Unprovoked,australia,Washing sand off a speared fish,Unspecified,Apr,N,M,2011.0,17.0
314,Unprovoked,usa,Surfing ,Unspecified,Apr,N,M,2011.0,49.0
315,Unprovoked,new zealand,Surfing,Unspecified,Apr,N,M,2011.0,41.0
316,Unprovoked,australia,Surfing,Bull,Mar,N,M,2011.0,48.0
317,Unprovoked,australia,Wakeboarding,Unspecified,Mar,N,F,2011.0,24.0
318,Provoked,australia,Fishing,Bull,Feb,N,M,2011.0,36.0
319,Unprovoked,new caledonia,Spearfishing,Unspecified,Feb,N,M,2011.0,21.0
320,Unprovoked,australia,Diving for abalone,White,Feb,Y,M,2011.0,49.0
321,Unprovoked,mexico,Swimming,Unspecified,Jan,N,F,2011.0,38.0
322,Unprovoked,bahamas,Scuba diving,Unspecified,Jan,N,M,2011.0,55.0
323,Invalid,australia,Swimming,Unspecified,Jan,,F,2011.0,7.0
324,Unprovoked,usa,Body boarding,Unspecified,Dec,N,M,2010.0,16.0
325,Unprovoked,egypt,Snorkeling,White,Dec,Y,F,2010.0,25.0
326,Unprovoked,egypt,Snorkeling,Unspecified,Dec,N,M,2010.0,54.0
327,Unprovoked,egypt,Snorkeling,Unspecified,Dec,N,M,2010.0,46.0
328,Unprovoked,egypt,Snorkeling,White,Nov,N,F,2010.0,25.0
329,Unprovoked,egypt,Snorkeling,White,Nov,N,F,2010.0,48.0
330,Unprovoked,australia,Snorkeling,White,Oct,N,F,2010.0,20.0
331,Unprovoked,usa,Scuba diving,Unspecified,Oct,N,M,2010.0,30.0
332,Unprovoked,usa,Body boarding,White,Oct,Y,M,2010.0,19.0
333,Unprovoked,australia,Surfing,Bull,Oct,N,M,2010.0,22.0
334,Unprovoked,usa,Surfing,White,Sep,N,M,2010.0,29.0
335,Unprovoked,australia,Surfing,Unspecified,Sep,N,M,2010.0,15.0
336,Unprovoked,australia,Surfing,White,Aug,Y,M,2010.0,31.0
337,Unprovoked,usa,Standing,Unspecified,Aug,N,F,2010.0,37.0
338,Unprovoked,usa,Swimming,Unspecified,Jul,N,M,2010.0,10.0
339,Unprovoked,usa,Swimming,Tiger,Jul,N,F,2010.0,13.0
340,Provoked,spain,Swimming,Unspecified,Jul,N,M,2010.0,9.0
341,Provoked,usa,Fishing,Unspecified,Jul,N,M,2010.0,20.0
342,Unprovoked,usa,Surfing,Unspecified,Jul,N,M,2010.0,19.0
343,Unprovoked,usa,Stand-Up Paddleboarding,Unspecified,Jul,N,M,2010.0,48.0
344,Unprovoked,vietnam,Swimming,Unspecified,Jun,N,M,2010.0,17.0
345,Unprovoked,usa,Boogie Boarding,Unspecified,Jun,N,F,2010.0,18.0
346,Provoked,usa,Fishing,Lemon,May,N,M,2010.0,49.0
347,Unprovoked,vietnam,Rescuing,Unspecified,May,N,F,2010.0,58.0
348,Unprovoked,vietnam,Swimming,Unspecified,May,N,F,2010.0,60.0
349,Unprovoked,usa,Wading,Unspecified,May,N,F,2010.0,10.0
350,Provoked,usa,Measuring sharks,Lemon,Apr,N,M,2010.0,29.0
351,Unprovoked,usa,Surfing,Unspecified,Apr,N,M,2010.0,25.0
