,year,type,country,activity,age,species,month,fatal,gender
616,2004,Unprovoked,usa,Surfing,57,Tiger shark,Apr,Y,M
617,2004,Unprovoked,south africa,Surfing,16,5 m [16.5'] white shark,Apr,N,M
618,2004,Unprovoked,usa,Surfing,20,1.2 m [4'] bull shark,Mar,N,M
619,2004,Unprovoked,brazil,Body boarding,22,bull shark,Mar,N,M
620,2004,Unprovoked,reunion,Surfing,20,2.5 m shark,Mar,N,M
621,2004,Unprovoked,usa,Surfing,51,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",Mar,N,M
622,2004,Unprovoked,new zealand,Surfing,15,2 m [6.75'] sevengill  shark,Feb,N,M
623,2004,Invalid,australia,Free diving & spearfishing,31,Shark involvement not confirmed,Feb,,M
624,2004,Unprovoked,australia,Scuba diving,46,4 m to 5 m [13' to 16.5'] white shark,Jan,N,M
625,2004,Unprovoked,venezuela,Spearfishing,40,"Bull shark, 132-kg [291-lb] ",Jan,N,M
626,2003,Unprovoked,south africa,Spearfishing,21,"Tiger shark, 4 m [13']  ?",Nov,Y,M
627,2003,Unprovoked,usa,Surfing,35,4' shark,Nov,N,F
628,2003,Unprovoked,usa,Surfing,18,1.2 m to 1.5 m [4' to 5'] shark,Oct,N,M
629,2003,Unprovoked,australia,Surfing,22,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",Oct,N,M
630,2003,Unprovoked,usa,Surfing,13,"Tiger shark, 14' ",Oct,N,F
631,2003,Invalid,usa,Snorkeling,56,Shark involvement not confirmed,Oct,,M
632,2003,Unprovoked,usa,Surfing,19,1.2 m [4'] shark,Oct,N,M
633,2003,Unprovoked,usa,Wading near a fishing net,41,"1.2 m [4'] ""grey-colored shark""",Oct,N,F
634,2003,Unprovoked,usa,Surfing,30,3' shark,Sep,N,M
635,2003,Invalid,usa,Swimming,8 or 10,Shark involvement doubtful,Sep,,F
636,2003,Unprovoked,usa,Body boarding,18,6' shark,Sep,N,M
637,2003,Unprovoked,usa,"Standing, stepped on shark",15,7' shark,Sep,N,M
638,2003,Unprovoked,south africa,Body boarding,19,White shark,Sep,Y,M
639,2003,Unprovoked,usa,"Swimming, wearing black wetsuit & swim fins",50,4.5 m to 5.5 m [15' to 18'] white shark,Aug,Y,F
640,2003,Invalid,usa,Swimming,31,Shark involvement not confirmed,Aug,,M
641,2003,Unprovoked,south africa,Sitting on surfboard,16,3.5 m [11.5'] white shark,Aug,N,M
642,2003,Unprovoked,bahamas,Spearfishing,58,Unidentified species,Jul,N,M
643,2003,Provoked,usa,"Walking, carrying surfboard & stepped on shark",10,2' shark,Jul,N,M
644,2003,Unprovoked,bahamas,Spearfishing,39,2.1 m  [7'] bull shark,Jul,N,M
645,2003,Unprovoked,usa,Surfing,17,Unidentified species,Jun,N,M
646,2003,Unprovoked,usa,Surfing,15,106 cm [3.5']  shark,Jun,N,M
647,2003,Unprovoked,usa,Standing,12,small brown shark,Jun,N,F
648,2003,Unprovoked,usa,Swimming with pod of dolphins,60,3.7 m to 4.3 m [12' to 14'] shark,Jun,N,M
649,2003,Unprovoked,usa,Surfing ,33,"""sand shark""",Jun,N,M
650,2003,Unprovoked,usa,Wading,22,3' to 5' shark,May,N,M
651,2003,Unprovoked,usa,Swimming,20,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,May,N,M
652,2003,Provoked,usa,Surfing,34,4' to 5' shark,May,N,M
653,2003,Unprovoked,brazil,Surfing,17,Bull shark,Apr,N,M
654,2003,Unprovoked,usa,Surfing,36,Unidentified species,Apr,N,M
655,2003,Unprovoked,usa,Surfing,17,Unidentified species,Apr,N,M
656,2003,Unprovoked,usa,Surfing,30,Unidentified species,Apr,N,M
657,2003,Unprovoked,usa,Surfing,23,0.9 m to 1.2 m [3' to 4'] shark,Apr,N,M
658,2003,Unprovoked,usa,Surfing,18,Unidentified species,Apr,N,M
659,2003,Unprovoked,usa,Jumping,11,A small shark,Apr,N,M
660,2003,Unprovoked,usa,Surfing,12,Unidentified species,Apr,N,M
661,2003,Unprovoked,usa,Swimming (using a float),20,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",Apr,N,M
662,2003,Unprovoked,venezuela,Surfing,28,"Mako shark, 3 m [10']",Apr,N,M
663,2003,Unprovoked,usa,Surfing,50,4' to 5' shark,Apr,N,M
664,2003,Unprovoked,new zealand,Scuba diving,44,2.5 m [8.25'] white shark,Feb,N,M
665,2003,Unprovoked,australia,Wading,37,"""a small shark""",Feb,N,M
666,2003,Unprovoked,usa,Swimming,54,Species unidentified,Feb,N,M
667,2003,Unprovoked,australia,Swimming,24,Thought to involve a 2 m [6.75'] grey nurse shark,Feb,N,M
668,2003,Unprovoked,australia,Swimming,84,Thought to involve a >2 m [6.75'] bull shark,Feb,Y,M
669,2003,Invalid,south africa,Unknown,14,Shark involvement prior to death was not confirmed,Jan,,M
670,2002,Unprovoked,south africa,Snorkeling,25,"White shark, 4 m white shark",Dec,N,M
671,2002,Unprovoked,australia,Swimming,23,Bull shark,Dec,Y,M
672,2002,Unprovoked,usa,Body boarding,48,3 m to 4.5 m [10' to 15'] white shark,Nov,N,M
673,2002,Unprovoked,usa,Swimming,34,2.4 m to 3 m [8' to 10'] grey colored shark,Nov,N,F
674,2002,Unprovoked,turks & caicos,Snorkeling,41,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark ,Nov,N,F
675,2002,Unprovoked,usa,Surfing,21,6' shark,Nov,N,M
676,2002,Unprovoked,usa,Boogie boarding,16,3' to 4' shark,Nov,N,M
677,2002,Unprovoked,usa,Swimming,60,A small shark,Oct,N,F
678,2002,Unprovoked,brazil,Swimming,36,Possibly a bull shark or tiger shark,Oct,Y,M
679,2002,Unprovoked,usa,Surfing,14,Blacktip or spinner shark,Oct,N,M
680,2002,Unprovoked,usa,Surfing,35,3.5' to 4.5' shark,Oct,N,M
681,2002,Unprovoked,usa,Surfing,18,3.5' to 4' shark,Oct,N,M
682,2002,Unprovoked,usa,Surfing,47,4' to 5' shark,Sep,N,M
683,2002,Unprovoked,usa,Fishing from Surfboard,55,1.2 m [4'] blacktip shark,Sep,N,M
684,2002,Provoked,usa,Fishing,  ,1.8 m [6'] blacktip shark,Sep,N,M
685,2002,Provoked,tonga,Swimming, ,"Tiger shark, 1.5 m [5']k",Sep,N,M
686,2002,Unprovoked,usa,Boogie boarding or Surfing,24,2.4 m [8'] shark,Sep,N,M
687,2002,Unprovoked,usa,Surfing,35,3 m to 3.7 m [10' to 12'] shark,Sep,N,M
688,2002,Unprovoked,brazil,Swimming,19,Bull or tiger shark,Sep,N,M
689,2002,Unprovoked,south africa,Surf skiing,47,White shark,Sep,N,M
690,2002,Unprovoked,usa,Boogie boarding,20,4' to 6' shark,Sep,N,M
691,2002,Provoked,usa,"Wading, when he stepped on the shark",36,1' to 2' hammerhead or bonnethed shark,Sep,N,M
692,2002,Unprovoked,usa,Surfing,16,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",Aug,N,M
693,2002,Unprovoked,usa,Surfing,27,0.9 m  to 1.2 m [3' to 4'] shark,Aug,N,M
