,year,type,country,activity,age,species,month,fatal,gender,id_country
137,2012,Boating,usa,Kayaking,52.0,Unspecified,Jul,N,M,0
138,2012,Unprovoked,usa,Swimming,6.0,Bull,Jun,N,M,0
139,2012,Unprovoked,usa,Sitting in the water,16.0,Unspecified,Jun,N,F,0
140,2012,Provoked,usa,Fishing,23.0,Unspecified,Jun,N,M,0
141,2012,Unprovoked,usa,Swimming,18.0,Unspecified,Jun,N,F,0
142,2012,Unprovoked,usa,Swimming,16.0,Unspecified,Jun,N,M,0
143,2012,Unprovoked,usa,Wading,33.0,Unspecified,May,N,F,0
144,2012,Unprovoked,usa,Surfing,22.0,Unspecified,May,N,M,0
145,2012,Boating,usa,Kayaking / Fishing,30.0,White,May,N,M,0
146,2012,Unprovoked,usa,Paddle boarding,15.0,White,May,N,F,0
147,2012,Unprovoked,usa,Surfing,28.0,Unspecified,Apr,N,M,0
148,2012,Unprovoked,usa,Surfing,28.0,Tiger,Apr,N,M,0
149,2012,Unprovoked,usa,Surfing,61.0,Bull,Mar,N,M,0
150,2012,Unprovoked,usa,Surfing,15.0,Unspecified,Mar,N,F,0
151,2012,Unprovoked,usa,Surfing,17.0,Unspecified,Mar,N,M,0
152,2012,Unprovoked,usa,Kite Surfing,19.0,Unspecified,Mar,N,M,0
153,2011,Invalid,usa,Surfing,27.0,Unspecified,Sep,Unknown,M,0
154,2011,Unprovoked,usa,Spearfishing,21.0,Bull,Sep,N,M,0
155,2011,Unprovoked,usa,Surfing,25.0,Unspecified,Sep,N,M,0
156,2011,Unprovoked,usa,Surfing,19.0,Unspecified,Sep,N,M,0
157,2011,Unprovoked,usa,Surfing,19.0,Unspecified,Aug,N,M,0
158,2011,Unprovoked,usa,Wading,20.0,Tiger,Aug,N,F,0
159,2011,Unprovoked,usa,Playing in the surf,10.0,Bull,Jun,N,F,0
160,2011,Unprovoked,usa,Scuba diving,28.0,Unspecified,Jun,N,M,0
161,2011,Unprovoked,usa,Wading,19.0,Unspecified,Jun,N,M,0
162,2011,Unprovoked,usa,Surfing ,49.0,Unspecified,Apr,N,M,0
163,2010,Unprovoked,usa,Body boarding,16.0,Unspecified,Dec,N,M,0
164,2010,Unprovoked,usa,Scuba diving,30.0,Unspecified,Oct,N,M,0
165,2010,Unprovoked,usa,Body boarding,19.0,White,Oct,Y,M,0
166,2010,Unprovoked,usa,Surfing,29.0,White,Sep,N,M,0
167,2010,Unprovoked,usa,Standing,37.0,Unspecified,Aug,N,F,0
168,2010,Unprovoked,usa,Swimming,10.0,Unspecified,Jul,N,M,0
169,2010,Unprovoked,usa,Swimming,13.0,Tiger,Jul,N,F,0
170,2010,Provoked,usa,Fishing,20.0,Unspecified,Jul,N,M,0
171,2010,Unprovoked,usa,Surfing,19.0,Unspecified,Jul,N,M,0
172,2010,Unprovoked,usa,Stand-Up Paddleboarding,48.0,Unspecified,Jul,N,M,0
173,2010,Unprovoked,usa,Boogie Boarding,18.0,Unspecified,Jun,N,F,0
174,2010,Provoked,usa,Fishing,49.0,Lemon,May,N,M,0
175,2010,Unprovoked,usa,Wading,10.0,Unspecified,May,N,F,0
176,2010,Provoked,usa,Measuring sharks,29.0,Lemon,Apr,N,M,0
177,2010,Unprovoked,usa,Surfing,25.0,Unspecified,Apr,N,M,0
178,2009,Provoked,usa,Diving,58.0,Tiger,Dec,N,M,0
179,2009,Invalid,usa,Surfing,49.0,Unspecified,Nov,Unknown,M,0
180,2009,Unprovoked,usa,Wading,10.0,Unspecified,Nov,N,M,0
181,2009,Unprovoked,usa,Fishing,31.0,Unspecified,Nov,N,M,0
182,2009,Unprovoked,usa,Surfing,18.0,Unspecified,Nov,N,M,0
183,2009,Unprovoked,usa,Surfing,54.0,Unspecified,Oct,N,M,0
184,2009,Invalid,usa,Swimming,60.0,Unspecified,Sep,Y,M,0
185,2009,Unprovoked,usa,Swimming,22.0,White,Aug,N,F,0
186,2009,Unprovoked,usa,Wade Fishing,56.0,Bull,Aug,N,M,0
187,2009,Provoked,usa,Swimming,43.0,Unspecified,Jul,N,F,0
188,2009,Invalid,usa,Crawling,14.0,Unspecified,Jun,Unknown,M,0
189,2009,Unprovoked,usa,Surfing,31.0,Unspecified,May,N,M,0
190,2009,Unprovoked,usa,Surfing,49.0,Unspecified,May,N,M,0
191,2009,Unprovoked,usa,Surfing,55.0,Unspecified,May,N,M,0
192,2009,Unprovoked,usa,Surfing,31.0,Unspecified,Apr,N,M,0
193,2009,Unprovoked,usa,Surfing,17.0,Unspecified,Mar,N,F,0
194,2009,Unprovoked,usa,Swimming,61.0,Unspecified,Mar,N,M,0
195,2008,Unprovoked,usa,Surfing,40.0,Unspecified,Sep,N,M,0
196,2008,Unprovoked,usa,Surfing,40.0,Tiger,Sep,N,M,0
197,2008,Unprovoked,usa,Surfing,52.0,Unspecified,Sep,N,M,0
198,2008,Invalid,usa,Swimming,27.0,Unspecified,Aug,Unknown,M,0
199,2008,Unprovoked,usa,Surfing,26.0,Unspecified,Aug,N,M,0
200,2008,Invalid,usa,Surfing,20.0,Unspecified,Aug,Unknown,F,0
201,2008,Unprovoked,usa,Treading water,38.0,Bull,Aug,N,F,0
202,2008,Unprovoked,usa,Wading,8.0,Unspecified,Jul,N,F,0
203,2008,Unprovoked,usa,Wading,16.0,Unspecified,Jul,N,M,0
204,2008,Invalid,usa,Wading,53.0,Unspecified,Jun,Unknown,M,0
205,2008,Unprovoked,usa,Swimming,37.0,Unspecified,Jun,N,M,0
206,2008,Boating,usa,Kayaking,40.0,White,Jun,N,F,0
207,2008,Unprovoked,usa,Body surfing,15.0,Unspecified,Jun,N,F,0
208,2008,Unprovoked,usa,Surfing,18.0,Unspecified,Apr,N,M,0
209,2008,Unprovoked,usa,Swimming,25.0,White,Apr,Y,M,0
210,2008,Unprovoked,usa,Surfing,30.0,Unspecified,Apr,N,M,0
211,2008,Unprovoked,usa,Surfing,52.0,Unspecified,Mar,N,M,0
212,2008,Unprovoked,usa,Walking out of the water after surfing,13.0,Unspecified,Mar,N,M,0
213,2008,Unprovoked,usa,Jet skiing,8.0,Unspecified,Mar,N,M,0
214,2008,Unprovoked,usa,Surfing,27.0,White,Mar,N,M,0
215,2007,Unprovoked,usa,Surfing,52.0,Tiger,Dec,N,M,0
216,2007,Unprovoked,usa,Surfing,21.0,Unspecified,Nov,N,M,0
217,2007,Unprovoked,usa,Surfing,42.0,Unspecified,Nov,N,M,0
218,2007,Unprovoked,usa,Floating,32.0,Tiger,Oct,N,M,0
219,2007,Unprovoked,usa,Surfing,22.0,Unspecified,Oct,N,M,0
220,2007,Unprovoked,usa,Surfing,16.0,Unspecified,Oct,N,M,0
221,2007,Unprovoked,usa,Surfing,23.0,Unspecified,Sep,N,M,0
222,2007,Unprovoked,usa,Surfing,27.87,Unspecified,Sep,N,F,0
223,2007,Unprovoked,usa,Snorkeling,14.0,Unspecified,Sep,N,M,0
224,2007,Unprovoked,usa,Jumping,12.0,Unspecified,Sep,N,F,0
225,2007,Unprovoked,usa,Swimming,58.0,Unspecified,Sep,N,M,0
226,2007,Unprovoked,usa,Body boarding,15.0,Tiger,Aug,N,M,0
227,2007,Unprovoked,usa,Surfing,24.0,White,Aug,N,M,0
228,2007,Unprovoked,usa,Surfing,54.0,Unspecified,Aug,N,M,0
229,2007,Unprovoked,usa,Surfing,27.0,Unspecified,Aug,N,M,0
230,2007,Unprovoked,usa,Surfing,16.0,Unspecified,Aug,N,M,0
231,2007,Unprovoked,usa,Floating near boat & observing bioluminesce,20.0,Bull,Aug,N,M,0
232,2007,Unprovoked,usa,Swimming,15.0,Unspecified,Aug,N,F,0
233,2007,Unprovoked,usa,Jumped into the water,19.0,Bull,Aug,N,F,0
234,2007,Unprovoked,usa,Snorkeling,36.0,Unspecified,Jul,N,M,0
235,2007,Unprovoked,usa,Swimming,14.0,Unspecified,Jul,N,M,0
236,2007,Invalid,usa,Swimming,43.0,Unspecified,Jul,Unknown,F,0
237,2007,Unprovoked,usa,Wading,30.0,Unspecified,Jul,N,F,0
238,2007,Unprovoked,usa,Surfing,20.0,Unspecified,Jun,N,M,0
239,2007,Invalid,usa,Surfing,9.0,Unspecified,Jun,Unknown,F,0
240,2007,Provoked,usa,Reviving a sedated shark,40.0,Unspecified,May,N,F,0
241,2007,Unprovoked,usa,Surfing,21.0,Unspecified,May,N,F,0
242,2007,Unprovoked,usa,Snorkeling,63.0,Tiger,May,N,F,0
243,2007,Unprovoked,usa,Swimming,25.0,Unspecified,May,N,M,0
244,2007,Unprovoked,usa,Body boarding,12.0,Unspecified,Apr,N,M,0
245,2007,Unprovoked,usa,Surfing,24.0,Unspecified,Apr,N,M,0
246,2007,Unprovoked,usa,Surfing,27.0,Unspecified,Mar,N,M,0
247,2007,Unprovoked,usa,Surfing,11.0,Unspecified,Mar,N,M,0
248,2007,Invalid,usa,Surfing,54.0,Unspecified,Jan,Unknown,M,0
249,2007,Unprovoked,usa,Surfing,24.0,Tiger,Jan,N,M,0
250,2006,Unprovoked,usa,Surfing,43.0,White,Dec,N,M,0
251,2006,Unprovoked,usa,Swimming,29.0,Unspecified,Nov,N,M,0
252,2006,Unprovoked,usa,Surfing,22.0,White,Oct,N,M,0
253,2006,Unprovoked,usa,Playing soccer in the water,18.0,Unspecified,Oct,N,M,0
254,2006,Unprovoked,usa,Swimming,55.0,Unspecified,Sep,N,M,0
255,2006,Unprovoked,usa,Standing,33.0,Unspecified,Sep,N,M,0
256,2006,Unprovoked,usa,Surfing,41.0,White,Jul,N,M,0
257,2006,Unprovoked,usa,Surfing,14.0,Unspecified,Jul,N,M,0
258,2006,Unprovoked,usa,Standing,49.0,Unspecified,Jul,N,M,0
259,2006,Unprovoked,usa,Body boarding,14.0,Bull,Jul,N,F,0
260,2006,Unprovoked,usa,Surfing,22.0,Unspecified,Jun,N,F,0
261,2006,Unprovoked,usa,Surfing,24.0,Unspecified,Jun,N,M,0
262,2006,Unprovoked,usa,Playing,7.0,Unspecified,Jun,N,F,0
263,2006,Unprovoked,usa,Spearfishing,26.0,Tiger,May,N,M,0
264,2006,Provoked,usa,Spearfishing,15.0,Grey,May,N,M,0
